"term","type","domain","category","severity","platforms","why","example","pattern","sources"
"guthman","word","both","model-distinctive slop","high","mistral; mistral-nemo","Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 729; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"et al","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"retrieved https","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"https www","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"count references","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"essay delve","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"university press","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"retrieved https www","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"word count references","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"https doi org","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"harvard business review","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"oxford university press","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"world health organization","phrase","both","model-distinctive collocation","low","mistral; mistral-nemo","Top repetitive n-gram in mistral-nemo output (slop-forensics).","",,"wave2:slop-forensics"
"trickling","word","both","model-distinctive slop","high","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 932; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"tensing","word","both","model-distinctive slop","high","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 887; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"intoxicating","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 664; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"allure","word","both","model-distinctive slop","high","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 522; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"carvings","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 402; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"bounty","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 292; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"hourglass","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 261; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"lashing","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 258; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"fluidity","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 211; appears in 5/44 model top-lists).","",,"wave2:slop-forensics"
"stark","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 195; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"steady","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 165; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"crates","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 157; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"unpredictable","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 136; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"unbearable","word","both","model-distinctive slop","medium","mistral; mistral-small-24b-instruct-2501","Statistically over-represented in mistral-small-24b-instruct-2501 output vs human baseline (slop-forensics profile, score 136; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"take deep","phrase","both","model-distinctive collocation","low","mistral; mistral-small-24b-instruct-2501","Top repetitive n-gram in mistral-small-24b-instruct-2501 output (slop-forensics).","",,"wave2:slop-forensics"
"makes think wo","phrase","both","model-distinctive collocation","low","mistral; mistral-small-24b-instruct-2501","Top repetitive n-gram in mistral-small-24b-instruct-2501 output (slop-forensics).","",,"wave2:slop-forensics"
"voice steady need","phrase","both","model-distinctive collocation","low","mistral; mistral-small-24b-instruct-2501","Top repetitive n-gram in mistral-small-24b-instruct-2501 output (slop-forensics).","",,"wave2:slop-forensics"
"weaved","word","both","model-distinctive slop","high","llama; llama-3.2-3b-instruct","Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 541; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"jumbled","word","both","model-distinctive slop","medium","llama; llama-3.2-3b-instruct","Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 417; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"lena","word","both","model-distinctive slop","medium","llama; llama-3.2-3b-instruct","Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 287; appears in 3/44 model top-lists).","",,"wave2:slop-forensics"
"expertly","word","both","model-distinctive slop","medium","llama; llama-3.2-3b-instruct","Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 274; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"musty","word","both","model-distinctive slop","medium","llama; llama-3.2-3b-instruct","Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 259; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"onlookers","word","both","model-distinctive slop","medium","llama; llama-3.2-3b-instruct","Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 257; appears in 2/44 model top-lists).","",,"wave2:slop-forensics"
"ling","word","both","model-distinctive slop","medium","llama; llama-3.2-3b-instruct","Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 252; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"sensei","word","both","model-distinctive slop","medium","llama; llama-3.2-3b-instruct","Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 185; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"shroud","word","both","model-distinctive slop","medium","llama; llama-3.2-3b-instruct","Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 138; appears in 4/44 model top-lists).","",,"wave2:slop-forensics"
"eyes glinting amusement","phrase","both","model-distinctive collocation","low","llama; llama-3.2-3b-instruct","Top repetitive n-gram in llama-3.2-3b-instruct output (slop-forensics).","",,"wave2:slop-forensics"
"griz","word","both","model-distinctive slop","high","gemini; gemini-2.5-pro-exp-03-25","Statistically over-represented in gemini-2.5-pro-exp-03-25 output vs human baseline (slop-forensics profile, score 1693; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"fractionally","word","both","model-distinctive slop","high","gemini; gemini-2.5-pro-exp-03-25","Statistically over-represented in gemini-2.5-pro-exp-03-25 output vs human baseline (slop-forensics profile, score 1450; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"infuriatingly","word","both","model-distinctive slop","high","gemini; gemini-2.5-pro-exp-03-25","Statistically over-represented in gemini-2.5-pro-exp-03-25 output vs human baseline (slop-forensics profile, score 938; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
"fizzing","word","both","model-distinctive slop","high","gemini; gemini-2.5-pro-exp-03-25","Statistically over-represented in gemini-2.5-pro-exp-03-25 output vs human baseline (slop-forensics profile, score 853; appears in 1/44 model top-lists).","",,"wave2:slop-forensics"
