AI-CLICHE DETECTION DB  -  22762 entries
format: [severity] domain/type | category | TERM :: why
[high  ] both/word | antislop (open-model slop) | undeterred :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.052). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | unearthing :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.053). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | unease :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.09). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | uneasily :: Statistically over-represented in gpt-4.5-preview output vs human baseline (slop-forensics profile, score 966; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | unforeseen :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.093). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | motion verb / release | unleash :: Topped ChatGPT 'superhero-movie verb' lists ('unleash your power'); the model uses it to manufacture intensity, and it reads as marketing-copy energy dropped into a song.
[high  ] both/word | marketing hyperbole | Unparalleled :: Superlative hype adjective AI overuses in promotional prose.
[high  ] both/word | antislop (open-model slop) | unshed :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.064). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | user1 :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.092). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | texture/luxe | velvet :: Explicitly listed in the zoetic Suno analysis as an auto-repeated word ('velvet, souls, night, haze, shadows'). Applied to skies/nights/voices as a default luxury-texture modifier.
[high  ] both/word | antislop (open-model slop) | vibrantly :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.089). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | abstract-noun | void :: Flagged on Suno cliche-checker lists. AI's default word for emptiness/loss because it's dramatic and abstract; 'staring into the void / falling into the void' is mode-collapsed melancholy with no concrete scene.
[high  ] both/word | model-distinctive slop | volkow :: Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 899; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | wafted :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.077). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | wafting :: Statistically over-represented in llama-4-maverick output vs human baseline (slop-forensics profile, score 623; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | wambui :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.083). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | warmly :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.051). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | wavers :: Statistically over-represented in llama-4-maverick output vs human baseline (slop-forensics profile, score 1026; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | wearily :: Statistically over-represented in gpt-4.5-preview output vs human baseline (slop-forensics profile, score 661; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | weave :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | motion verb / tapestry | weave / woven (woven through) :: Sibling of the infamous 'tapestry' tell — the model 'weaves' threads/stories/dreams; this textile metaphor is a documented ChatGPT fingerprint bleeding into lyrics.
[high  ] both/word | model-distinctive slop | weaved :: Statistically over-represented in llama-3.2-3b-instruct output vs human baseline (slop-forensics profile, score 541; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | weaving :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | weightiness :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.078). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | weitzer :: Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 855; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | welled :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.074). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | object/prop | whiskey :: AI's default 'emotion fluid' across genres but especially country, where it stands in for grief, celebration, and heartbreak interchangeably. Its vagueness (no brand, no glass, no bar) signals AI couldn't generate a specific drinking scene.
[high  ] both/word | AI word-spike | whisper / whispers :: Explicitly cited by AI-lyric critics as imagery that 'appears in every song.' AI uses whisper as a soft-dynamic contrast word that sounds poetic but is now an instant generator fingerprint.
[high  ] both/word | sensory filler | whisper / whispers / whispered :: A 'safe' sensory verb the model overuses for intimacy or mystery (whispered dreams, the wind whispers). It crosses into prose too — listed in AI-prose word studies — making it a double tell.
[high  ] both/word | antislop (open-model slop) | whispering :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | sound/quiet | whispers :: Appears in BOTH the Suno Wiki list AND Melanie Walsh's computational GPT-poetry vocabulary study ('whisper/whispers' is signature GPT poetry vocab). Cross-domain corroboration makes it a top-tier tell.
[high  ] both/word | antislop (open-model slop) | whisperwood :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | wholeheartedly :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.082). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | why're :: Statistically over-represented in qwq-32b output vs human baseline (slop-forensics profile, score 772; appears in 1/44 model top-lists).
[high  ] both/word | model-distinctive slop | widom :: Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 976; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | windowpanes :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.085). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | wonderment :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.098). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | worldbank :: Statistically over-represented in mistral-nemo output vs human baseline (slop-forensics profile, score 1699; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | worriedly :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.087). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | wove :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | model-distinctive slop | wryly :: Statistically over-represented in llama-4-maverick output vs human baseline (slop-forensics profile, score 623; appears in 1/44 model top-lists).
[high  ] both/word | antislop (open-model slop) | yearned :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.099). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | yesteryears :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.043). Open-model slop that distills into most fine-tunes/wrappers.
[high  ] both/word | antislop (open-model slop) | yoing :: Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.047). Open-model slop that distills into most fine-tunes/wrappers.
